BOARDID,TRADEDATE,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
CETS,2022-08-19,AMDRUB_TOM,AMDRUB_TOM,16.4,15.23,16.4,15.3,151.0,3564007.25,15.5024
CETS,2022-08-19,BYNRUB_TOD,BYNRUB_TOD,23.3825,23.3825,23.3825,23.3825,1.0,140295.0,23.3825
CETS,2022-08-19,BYNRUB_TOM,BYNRUB_TOM,23.55,23.2275,23.7325,23.5625,476.0,102413677.5,23.3875
CETS,2022-08-19,CNYRUB_TOD,CNY000000TOD,8.79,8.664,8.79,8.744,2243.0,4330160476.0,8.7232
CNGD,2022-08-19,CNYRUB_TOD,CNY000000TOD,8.7449,8.725,8.745,8.7251,16.0,2620231000.0,
CETS,2022-08-19,CNY_TODTOM,CNYRUBTODTOM,0.005901,0.0055,0.00613,0.00576,587.0,246209273817.3,0.006051
CNGD,2022-08-19,CNY_TODTOM,CNYRUBTODTOM,0.0061,-0.0112,0.0144,0.011543,2697.0,13619575078.63,
CETS,2022-08-19,CNYRUB_TOM,CNYRUB_TOM,8.747,8.534,8.759,8.61,49316.0,58172812828.0,8.6424
CNGD,2022-08-19,CNYRUB_TOM,CNYRUB_TOM,8.75,8.53,8.759,8.613,15140.0,6254914145.87,
CETS,2022-08-19,EUR_TODTOM,EUR000TODTOM,0.025,0.025,0.0466,0.0401,815.0,40794038430.0,0.0414
CNGD,2022-08-19,EUR_TODTOM,EUR000TODTOM,0.0,-0.0495,0.2766,0.0391,680.0,10941053601.89,
CETS,2022-08-19,EURRUB_TMS,EURRUB_TMS,60.0,58.5525,60.1975,59.27,1863.0,25152719.47,59.3357
CETS,2022-08-19,EURUSD_TOD,EURUSD000TOD,1.00571,1.00161,1.007,1.00409,74.0,220347923.33,1.00495
CNGD,2022-08-19,EURUSD_TOD,EURUSD000TOD,1.0243,1.00401,1.0243,1.0243,1008.0,10839890.44,
CETS,2022-08-19,EURUSD_TOM,EURUSD000TOM,1.00601,1.0015,1.00799,1.00301,4315.0,17274082987.8,1.00439
CNGD,2022-08-19,EURUSD_TOM,EURUSD000TOM,1.0077,1.00401,1.0243,1.007,1010.0,1218793569.44,
CETS,2022-08-19,EURUSDTDTM,EURUSDTODTOM,0.0,-0.0001,0.00015,0.000125,38.0,44633666760.03,6.6e-05
CNGD,2022-08-19,EURUSDTDTM,EURUSDTODTOM,0.001328,-0.00083,0.001328,8.8e-05,53.0,1766001387.98,
CETS,2022-08-19,EURUSD_SPT,EURUSD_SPT,1.0045,1.0045,1.0045,1.0045,2.0,4517010487.5,1.0045
CETS,2022-08-19,EURRUB_TOD,EUR_RUB__TOD,59.87,58.5875,59.9225,58.8925,7034.0,14921459102.5,59.481
CNGD,2022-08-19,EURRUB_TOD,EUR_RUB__TOD,59.73,59.2689,60.4662,59.69,6505.0,1487090123.33,
CETS,2022-08-19,EURRUB_TOM,EUR_RUB__TOM,59.5675,58.5325,60.0675,59.6025,20324.0,50077339785.0,59.3204
CNGD,2022-08-19,EURRUB_TOM,EUR_RUB__TOM,59.69,58.51,60.4662,59.55,13054.0,447220201.99,
CNGD,2022-08-19,GBP_TODTOM,GBPRUBTODTOM,-0.1,-0.1,0.0988,0.0973,49.0,50745456.08,
CNGD,2022-08-19,GBPRUB_TOD,GBPRUB_TOD,75.5,75.5,76.255,76.255,575.0,4671102.82,
CETS,2022-08-19,GBPRUB_TOM,GBPRUB_TOM,74.35,70.75,76.0,73.0,179.0,60895845.0,72.3229
CNGD,2022-08-19,GBPRUB_TOM,GBPRUB_TOM,71.3125,70.5975,76.46,73.2725,956.0,8046271.43,
CETS,2022-08-19,GLD_TODTOM,GLDRUBTODTOM,1.3711,1.3711,1.3711,1.3711,3.0,186911922.4,1.3711
CNGD,2022-08-19,GLD_TODTOM,GLDRUBTODTOM,2.1938,-1.234,4.3875,4.3875,74.0,19923645.24,
CETS,2022-08-19,GLDRUB_TOM,GLDRUB_TOM,3338.7,3270.0,3344.99,3304.99,6048.0,300409263.4,3296.78
CNGD,2022-08-19,HKD_TODTOM,HKDRUBTODTOM,0.010143,-0.006346,0.0126,0.006646,667.0,575439248.61,
CETS,2022-08-19,HKDRUB_TOD,HKDRUB_TOD,7.7997,7.72,7.7997,7.72,4.0,108529.1,7.7521
CETS,2022-08-19,HKDRUB_TOM,HKDRUB_TOM,7.7307,7.5701,7.7308,7.6339,2315.0,251434652.2,7.6331
CNGD,2022-08-19,HKDRUB_TOM,HKDRUB_TOM,7.6841,7.57,7.7505,7.6983,6376.0,59649434.81,
CNGD,2022-08-19,KZT_TODTOM,KZTRUBTODTOM,0.017,0.017,0.017,0.017,1.0,5089.6,
CETS,2022-08-19,KZTRUB_TOM,KZTRUB_TOM,12.5,12.3375,12.53,12.485,591.0,175151296.0,12.4454
CNGD,2022-08-19,SLV_TODTOM,SLVRUBTODTOM,0.061,0.061,0.061,0.061,2.0,9523.66,
CETS,2022-08-19,SLVRUB_TOM,SLVRUB_TOM,45.55,45.5,47.19,46.65,926.0,10856033.0,46.43
CNGD,2022-08-19,TRY_TODTOM,TRYRUBTODTOM,0.004349,4e-05,0.0054,0.00426,150.0,52534571.89,
CETS,2022-08-19,TRYRUB_TOM,TRYRUB_TOM,3.319,3.3011,3.4,3.3872,462.0,66480144.7,3.3461
CNGD,2022-08-19,TRYRUB_TOM,TRYRUB_TOM,3.3355,3.3008,3.4001,3.3888,1372.0,4224107.05,
CETS,2022-08-19,USDRUB_TOD,USD000000TOD,59.88,58.2,59.88,58.9125,15138.0,51153084492.5,59.0177
CNGD,2022-08-19,USDRUB_TOD,USD000000TOD,59.9461,58.1601,59.9461,58.8,73776.0,9238583360.39,
CETS,2022-08-19,USD_TODTOM,USD000TODTOM,0.0489,0.0049,0.0489,0.034,1446.0,191011644510.0,0.0387
CNGD,2022-08-19,USD_TODTOM,USD000TODTOM,0.1224,-0.1224,0.1986,0.0784,21609.0,4857640763.48,
CETS,2022-08-19,USDRUB_TOM,USD000UTSTOM,59.65,57.7,59.65,59.1,31537.0,73239983477.5,59.0079
CNGD,2022-08-19,USDRUB_TOM,USD000UTSTOM,59.4,58.1601,60.7844,59.145,123427.0,11545602736.15,
CNGD,2022-08-19,USDCNYTDTM,USDCNYTODTOM,-0.005579,-0.005579,0.00279,0.00279,38.0,3068553.42,
CETS,2022-08-19,USDCNY_TOD,USDCNY_TOD,6.81688,6.77782,6.82,6.79,49.0,17787587.75,6.80758
CETS,2022-08-19,USDCNY_TOM,USDCNY_TOM,6.79503,6.7025,6.8747,6.855,5676.0,21415061590.74,6.82943
CETS,2022-08-19,USDKZT_TOM,USDKZT_TOM,474.95,474.95,475.35,475.35,9.0,4965476.2,475.15
CETS,2022-08-19,USDRUB_TMS,USDRUB_TMS,59.545,58.26,59.6475,59.19,4188.0,47042856.57,59.0031
CNGD,2022-08-19,USDRUB_TMS,USDRUB_TMS,59.28,58.68,59.28,59.0,27.0,439.55,
