BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-08-29,РЖД-19 обл,RU000A0JQ7Z2,97.0,127505.5,97.5,99.9,99.42,99.58,10.54,99.61,8.35,97.5,128.0,,99.67,99.58,0.0,514299.5,0.0,2024-07-08,639.0,8.23,,,7.85,39.14,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ДОМ.РФ14об,RU000A0JQAL8,1.0,30540.0,101.8,101.8,101.8,101.8,47.92,101.8,7.7,101.8,30.0,101.79,103.96,101.8,4866581.0,1590540.0,4866581.0,2023-05-15,78.0,7.7,,,16.5,83.18,2022-11-15,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,РЖД-23 обл,RU000A0JQRD9,40.0,463833.7,99.0,99.84,99.11,99.11,8.39,99.11,8.43,99.84,468.0,,99.11,99.11,0.0,505443.9,0.0,2025-01-16,805.0,8.43,,,7.85,39.14,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ДОМ.РФ18об,RU000A0JRDY3,3.0,60300.0,100.0,100.0,100.0,100.0,2.85,100.0,7.93,100.0,201.0,,,100.0,0.0,0.0,0.0,2023-07-15,310.0,7.93,,,7.71,5.83,,2022-08-29,300.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ЗСД 01,RU000A0JRJB8,1.0,1050.0,105.0,105.0,105.0,105.0,27.74,105.0,9.81,105.0,1.0,,,105.0,0.0,0.0,0.0,2031-05-13,2134.0,9.81,,,10.44,52.06,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,СЗКК 03,RU000A0JRU20,1.0,820.79,99.49,99.49,99.49,99.49,39.27,99.49,17.59,99.49,1.0,,,99.49,0.0,0.0,0.0,2031-09-26,39.0,17.59,,,12.15,49.98,2022-10-07,2022-08-29,825.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ЗСД 03,RU000A0JS4J1,1.0,1100.0,110.0,110.0,110.0,110.0,2.7,110.0,8.46,110.0,1.0,,,110.0,0.0,0.0,0.0,2032-02-06,2373.0,8.46,,,9.84,49.07,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ЗСД 04,RU000A0JS4K9,1.0,1090.6,109.06,109.06,109.06,109.06,2.7,109.06,8.61,109.06,1.0,,,109.06,0.0,0.0,0.0,2032-02-06,2368.0,8.61,,,9.84,49.07,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ВЭБ.РФ 21,RU000A0JS4Z7,23.0,85856.6,101.31,105.01,104.0,103.47,54.5,103.44,2.87,105.01,83.0,,102.22,103.47,0.0,520304.0,0.0,2032-02-17,174.0,3.99,,,10.99,54.8,2023-02-28,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ЕАБР11,RU000A0JS934,1.0,24770.0,99.08,99.08,99.08,99.08,6.24,99.08,8.59,99.08,25.0,,98.29,99.08,0.0,4289578.4,0.0,2025-01-24,327.0,8.59,,,7.35,36.65,2023-07-28,2022-08-29,1000.0,SUR,,,,,RUB,3
